T|1|101|CHECKOUT|2023-12-01 10:15:30
T|1|101|RETURN|2023-12-01 11:45:20
T|2|102|CHECKOUT|2023-12-01 12:30:45
T|3|103|CHECKOUT|2023-12-01 14:20:10
T|4|104|CHECKOUT|2023-12-01 15:45:55
T|3|103|RETURN|2023-12-01 16:30:40
T|4|104|RETURN|2023-12-01 17:20:15
T|5|105|CHECKOUT|2023-12-01 18:10:25
T|6|106|CHECKOUT|2023-12-01 19:05:30
T|7|107|CHECKOUT|2023-12-01 20:00:15
T|8|108|CHECKOUT|2023-12-01 21:15:40
T|6|106|RETURN|2023-12-01 22:30:55
T|7|107|RETURN|2023-12-01 23:45:10
T|8|108|RETURN|2023-12-02 01:00:25
T|9|109|CHECKOUT|2023-12-02 02:15:50
T|10|110|CHECKOUT|2023-12-02 03:30:05
T|9|109|RETURN|2023-12-02 04:45:20
T|10|110|RETURN|2023-12-02 06:00:35
T|11|111|CHECKOUT|2023-12-02 07:15:50
T|11|111|RETURN|2023-12-02 08:30:05
T|11|115|CHECKOUT|2023-12-02 09:45:20
T|12|116|CHECKOUT|2023:12:08 18:17:09
T|12|116|RETURN|2023-12-08 18:39:16
T|5|106|CHECKOUT|2023:12:08 19:10:05
